full_name;type;alpha;seed;value;feasible
LR2_2_6_t2_40R_40V_04F_06M;t2;0.15;24;7995.85;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.15;24;8780.8;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.15;24;10914.9;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.15;24;12240.01;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.15;24;12298.34;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.15;31;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.15;31;652.32;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.15;31;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.15;31;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.15;31;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.15;31;967.66;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.15;31;1394.99;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.15;31;1338.34;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.15;31;4650.63;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.15;31;5977.77;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.15;31;6165.38;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.15;31;7949.93;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.15;31;8666.36;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.15;31;11036.5;TRUE
