name;group;type;alpha;seed;value;feasible;total_time_elapsed;full_name;n;iteration_to_best;time_to_best;iteration;percentage_infeasible_sol;mean_LP_impr_percentage
lr204;12R_12V_04I_03M;t2;0.05;24;895.29;TRUE;310.07;lr204_t2_12R_12V_04I_03M;12;37429;193.91;60000;0;3.72
lr204;12R_12V_04I_04M;t2;0.05;24;898.25;TRUE;338.6;lr204_t2_12R_12V_04I_04M;12;37429;212.1;60000;0;4.23
lr205;12R_12V_04I_03M;t2;0.05;24;980.74;TRUE;247.08;lr205_t2_12R_12V_04I_03M;12;29496;121.61;60000;0;20.96
lr205;12R_12V_04I_04M;t2;0.05;24;979.34;TRUE;263.71;lr205_t2_12R_12V_04I_04M;12;29496;129.96;60000;0;21.38
LR1_2_1;40R_40V_02I_05M;t1;0.05;24;8377.69;TRUE;84.12;LR1_2_1_t1_40R_40V_02I_05M;40;1;0.01;60000;100;6.09
LR1_2_1;40R_40V_02I_06M;t1;0.05;24;8377.69;TRUE;89.81;LR1_2_1_t1_40R_40V_02I_06M;40;1;0.01;60000;100;6.09
LR1_2_2;40R_40V_02I_05M;t1;0.05;24;7502.15;TRUE;95.4;LR1_2_2_t1_40R_40V_02I_05M;40;1;0.01;60000;100;5.62
LR1_2_2;40R_40V_02I_06M;t1;0.05;24;7505.6;TRUE;108.23;LR1_2_2_t1_40R_40V_02I_06M;40;1;0.01;60000;100;5.58
LR1_2_3;40R_40V_02I_05M;t1;0.05;24;4740.06;TRUE;217.66;LR1_2_3_t1_40R_40V_02I_05M;40;25999;94.26;60000;98.54;3.15
LR1_2_3;40R_40V_02I_06M;t1;0.05;24;4712.99;TRUE;231.02;LR1_2_3_t1_40R_40V_02I_06M;40;32238;124;60000;98.58;3.15
LR1_2_4;40R_40V_02I_05M;t1;0.05;24;3692.8;TRUE;603.92;LR1_2_4_t1_40R_40V_02I_05M;40;32198;323.25;60000;73.42;3.22
LR1_2_4;40R_40V_02I_06M;t1;0.05;24;3507.94;TRUE;997.72;LR1_2_4_t1_40R_40V_02I_06M;40;26395;438.91;60000;34.7;3.14
LR1_2_5;40R_40V_02I_05M;t1;0.05;24;6678.59;TRUE;113.48;LR1_2_5_t1_40R_40V_02I_05M;40;22702;43.37;60000;99.96;7.25
LR1_2_5;40R_40V_02I_06M;t1;0.05;24;6194.94;TRUE;191.88;LR1_2_5_t1_40R_40V_02I_06M;40;5534;17.73;60000;97.58;6.08
LR2_2_1;40R_40V_02I_05M;t2;0.05;24;7808.5;TRUE;1041.01;LR2_2_1_t2_40R_40V_02I_05M;40;26126;456.62;60000;0;6.74
LR2_2_1;40R_40V_02I_06M;t2;0.05;24;7801.98;TRUE;1127.63;LR2_2_1_t2_40R_40V_02I_06M;40;26126;493.12;60000;0;7.06
LR2_2_2;40R_40V_02I_05M;t2;0.05;24;6633.49;TRUE;1339.37;LR2_2_2_t2_40R_40V_02I_05M;40;18029;405.84;60000;0;7.33
LR2_2_2;40R_40V_02I_06M;t2;0.05;24;6595.87;TRUE;1460.89;LR2_2_2_t2_40R_40V_02I_06M;40;45044;1098.74;60000;0;7.6
LR2_2_3;40R_40V_02I_05M;t2;0.05;24;5757.57;TRUE;1845.83;LR2_2_3_t2_40R_40V_02I_05M;40;37208;1147.27;60000;0;3.84
LR2_2_3;40R_40V_02I_06M;t2;0.05;24;5615.17;TRUE;2023.93;LR2_2_3_t2_40R_40V_02I_06M;40;658;22.43;60000;0;4.01
LR2_2_4;40R_40V_02I_05M;t2;0.05;24;4111.86;TRUE;3266.88;LR2_2_4_t2_40R_40V_02I_05M;40;47438;2581.16;60000;0;1.86
